account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
vkhosla,0.1428571,63,1,518023,master only (1),0.229935754,
CynthiaBailey10,0.1428571,301,1,898239,master only (1),-0.560230757,
RobinRoberts,0.1428571,497,1,1163492,master only (1),-0.883054876,
shoaib100mph,0.1421053,190,1,2859975,master only (1),0,
mariamenounos,0.1404959,363,1,670611,master only (1),0.232457115,
amjoyshow,0.1404494,890,1,530522,master only (1),0.069383615,
Palomafaith,0.1401869,107,1,576112,master only (1),-0.970761417,
RashidaTlaib,0.1395881,1311,1,979339,master only (1),-1.855380456,
REALDIEGOVALDEZ,0.1385281,231,1,597650,master only (1),-0.545203302,
gqindia,0.1384439,874,1,602310,master only (1),0.029604804,
JuliaGillard,0.137931,58,1,810728,master only (1),1.034821288,
MoistCr1TiKaL,0.1375,80,1,652332,master only (1),0,
QueenWillRock,0.1374269,342,1,1982674,master only (1),-0.411385951,
costareports,0.1373922,1856,1,562128,master only (1),1.037404102,
ingridnilsen,0.1372549,51,1,1161115,master only (1),-1.398121202,
paulfeig,0.1372549,102,1,2181449,master only (1),-1.720097203,
anandmahindra,0.1369565,460,1,7779718,master only (1),0.862957305,
marissamayer,0.1363636,22,1,1625400,master only (1),-0.39057892,
boniver,0.1363636,44,1,756462,master only (1),-0.467045814,
AyannaPressley,0.1361761,727,1,620460,master only (1),-1.415659036,
taran_adarsh,0.1361161,551,1,3771747,master only (1),0,
