account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
NargisFakhri,0.0588235,51,1,4076296,master only (1)
TheAJMendez,0.0588235,51,1,5046342,master only (1)
JeremyClarkson,0.0588235,68,1,7234957,master only (1)
FrankieBridge,0.0588235,102,1,1118965,master only (1)
JohnCMaxwell,0.0588235,102,1,2572214,master only (1)
MichellePhan,0.0588235,119,1,900620,master only (1)
YamahaMotoGP,0.0588235,255,1,568779,master only (1)
southbankcentre,0.0588235,697,1,822861,master only (1)
parentsmagazine,0.0587961,2143,1,4774418,master only (1)
ClimateReality,0.0587045,2470,1,510612,master only (1)
SatoshiLite,0.0584795,171,1,833603,master only (1)
joelmchale,0.0584416,154,1,3446730,master only (1)
WestJet,0.0583942,137,1,682775,master only (1)
pennjillette,0.0583333,120,1,1822703,master only (1)
ClarenceHouse,0.0582524,309,1,899763,master only (1)
KerrangMagazine,0.0581975,3007,1,684447,master only (1)
Realomosexy,0.0581114,413,1,1297134,master only (1)
cultofmac,0.0579807,3001,1,769858,master only (1)
robcorddry,0.057971,69,1,1306452,master only (1)
SleepSkee,0.057971,69,1,783593,master only (1)
gadgetlab,0.0579151,518,1,1796713,master only (1)
neiltyson,0.0578947,190,1,13838871,master only (1)
azzurri,0.0577778,225,1,569767,master only (1)
MaxLucado,0.0577617,277,1,1376623,master only (1)
AlexWassabi,0.0576923,52,1,1377352,master only (1)
Aubameyang7,0.0576923,52,1,1376857,master only (1)
cesarmillan,0.0576923,52,1,1058061,master only (1)
